,Name,Team,Position,Height,Weight,College,Salary
334,Drew Timme,Milwaukee Bucks,F,6-10,235.0,Gonzaga,0.0
335,TyTy Washington Jr.,Milwaukee Bucks,G,6-3,195.0,Kentucky,0.0
336,Lindell Wigginton,Milwaukee Bucks,G,6-1,189.0,Iowa State,559782.0
337,Nickeil Alexander-Walker,Minnesota Timberwolves,G,6-5,205.0,Virginia Tech,4687500.0
338,Kyle Anderson,Minnesota Timberwolves,F-G,6-9,230.0,UCLA,9219512.0
339,Troy Brown Jr.,Minnesota Timberwolves,G-F,6-7,215.0,Oregon,0.0
340,Jaylen Clark,Minnesota Timberwolves,G,6-5,205.0,UCLA,559782.0
341,Mike Conley,Minnesota Timberwolves,G,6-1,175.0,Ohio State,24360000.0
342,Anthony Edwards,Minnesota Timberwolves,G,6-4,225.0,Georgia,13534817.0
343,Luka Garza,Minnesota Timberwolves,C,6-10,243.0,Iowa,559782.0
344,Rudy Gobert,Minnesota Timberwolves,C,7-1,258.0,Cholet,41000000.0
345,Jaden McDaniels,Minnesota Timberwolves,F,6-9,185.0,Washington,3901399.0
346,Jordan McLaughlin,Minnesota Timberwolves,G,6-0,185.0,Southern California,2320000.0
347,Leonard Miller,Minnesota Timberwolves,F,6-10,210.0,NBA G League Ignite,1800000.0
348,Shake Milton,Minnesota Timberwolves,G-F,6-5,205.0,Southern Methodist,5000000.0
349,Josh Minott,Minnesota Timberwolves,F,6-8,205.0,Memphis,1719864.0
350,Wendell Moore Jr.,Minnesota Timberwolves,G,6-5,215.0,Duke,0.0
351,Jaylen Nowell,Minnesota Timberwolves,G,6-4,201.0,Washington,0.0
352,Naz Reid,Minnesota Timberwolves,C-F,6-9,264.0,Louisiana State,12950400.0
353,Austin Rivers,Minnesota Timberwolves,G,6-4,200.0,Duke,0.0
354,Matt Ryan,Minnesota Timberwolves,F,6-6,215.0,Tennessee-Chattanooga,0.0
355,Karl-Anthony Towns,Minnesota Timberwolves,C-F,7-0,248.0,Kentucky,36016200.0
356,Jose Alvarado,New Orleans Pelicans,G,6-0,179.0,Georgia Tech,0.0
357,Dyson Daniels,New Orleans Pelicans,G,6-7,199.0,NBA G League Ignite,5784120.0
358,Jordan Hawkins,New Orleans Pelicans,G,6-5,190.0,Connecticut,4310196.0
359,Willy Hernangomez,New Orleans Pelicans,C-F,6-11,250.0,Cajasol Sevilla,0.0
360,Brandon Ingram,New Orleans Pelicans,F,6-8,190.0,Duke,33833400.0
361,Herbert Jones,New Orleans Pelicans,F,6-7,206.0,Alabama,0.0
362,Kira Lewis Jr.,New Orleans Pelicans,G,6-1,170.0,Alabama,0.0
363,E.J. Liddell,New Orleans Pelicans,F,6-6,240.0,Ohio State,0.0
364,Naji Marshall,New Orleans Pelicans,F,6-7,220.0,Xavier,1930681.0
365,CJ McCollum,New Orleans Pelicans,G,6-3,190.0,Lehigh,35802469.0
366,Trey Murphy III,New Orleans Pelicans,F,6-8,206.0,Virginia,0.0
367,Larry Nance Jr.,New Orleans Pelicans,F-C,6-8,245.0,Wyoming,0.0
368,Dereon Seabron,New Orleans Pelicans,G,6-5,180.0,North Carolina State,559782.0
369,Jonas Valanciunas,New Orleans Pelicans,C,6-11,265.0,Lietuvos rytas Vilnius,15435000.0
370,Zion Williamson,New Orleans Pelicans,F,6-6,284.0,Duke,34005250.0
371,Cody Zeller,New Orleans Pelicans,F-C,6-11,240.0,Indiana,3196448.0
372,RJ Barrett,New York Knicks,F-G,6-6,214.0,Duke,23883929.0
373,Jalen Brunson,New York Knicks,G,6-2,190.0,Villanova,26346666.0
374,Donte DiVincenzo,New York Knicks,G,6-4,203.0,Villanova,10900000.0
375,Evan Fournier,New York Knicks,G-F,6-6,205.0,Poitiers Basket 86,18857143.0
376,Quentin Grimes,New York Knicks,G,6-5,210.0,Houston,2385720.0
377,Josh Hart,New York Knicks,G,6-4,215.0,Villanova,12960000.0
378,Isaiah Hartenstein,New York Knicks,C-F,7-0,250.0,Zalgiris,9245121.0
379,DaQuan Jeffries,New York Knicks,G-F,6-5,222.0,Tulsa,2066585.0
380,Nathan Knight,New York Knicks,F-C,6-8,253.0,William & Mary,940500.0
381,Jaylen Martin,New York Knicks,G,6-6,216.0,Unknown,559782.0
382,Miles McBride,New York Knicks,G,6-2,195.0,West Virginia,1836096.0
383,Obadiah Noel,New York Knicks,G,6-4,185.0,Massachusetts-Lowell,1119563.0
384,Immanuel Quickley,New York Knicks,G,6-2,190.0,Kentucky,4171548.0
385,Julius Randle,New York Knicks,F-C,6-8,250.0,Kentucky,28226880.0
386,Mitchell Robinson,New York Knicks,C-F,7-0,240.0,Western Kentucky,15681818.0
387,Isaiah Roby,New York Knicks,F,6-8,230.0,Nebraska,2066585.0
388,Jericho Sims,New York Knicks,C,6-10,250.0,Texas,1927896.0
389,Dmytro Skapintsev,New York Knicks,C,7-1,215.0,California State-Northridge,1119563.0
390,Jacob Toppin,New York Knicks,F,6-9,200.0,Kentucky,1119563.0
391,Duane Washington Jr.,New York Knicks,G,6-2,197.0,Ohio State,0.0
392,Dylan Windler,New York Knicks,G-F,6-7,196.0,Belmont,559782.0
393,Davis Bertans,Oklahoma City Thunder,F,6-10,225.0,Baskonia,17000000.0
394,Ousmane Dieng,Oklahoma City Thunder,F,6-9,185.0,New Zealand Breakers,4798440.0
395,Luguentz Dort,Oklahoma City Thunder,G,6-4,220.0,Arizona State,15277778.0
396,Josh Giddey,Oklahoma City Thunder,G,6-8,216.0,NBA Global Academy,6587040.0
397,Shai Gilgeous-Alexander,Oklahoma City Thunder,G,6-6,195.0,Kentucky,33386850.0
398,Chet Holmgren,Oklahoma City Thunder,C-F,7-1,195.0,Gonzaga,10386000.0
399,Isaiah Joe,Oklahoma City Thunder,G,6-3,165.0,Arkansas,1997238.0
400,Keyontae Johnson,Oklahoma City Thunder,F,6-6,230.0,Kansas State,559782.0
401,Tre Mann,Oklahoma City Thunder,G,6-3,178.0,Florida,3191400.0
402,Vasilije Micic,Oklahoma City Thunder,G,6-4,188.0,Serbia,7723000.0
403,Victor Oladipo,Oklahoma City Thunder,G,6-3,213.0,Indiana,9450000.0
404,Aleksej Pokusevski,Oklahoma City Thunder,F,7-0,210.0,Olympiacos,5009633.0
405,Jeremiah Robinson-Earl,Oklahoma City Thunder,F,6-8,240.0,Villanova,1900000.0
406,Olivier Sarr,Oklahoma City Thunder,C,6-11,240.0,Kentucky,559782.0
407,Cason Wallace,Oklahoma City Thunder,G,6-4,195.0,Kentucky,5291352.0
408,Lindy Waters III,Oklahoma City Thunder,F,6-6,210.0,Oklahoma State,559782.0
409,Jack White,Oklahoma City Thunder,F,6-7,225.0,Duke,1801769.0
410,Aaron Wiggins,Oklahoma City Thunder,G,6-5,190.0,Maryland,1836096.0
411,Jalen Williams,Oklahoma City Thunder,G-F,6-5,211.0,Santa Clara,4558680.0
412,Jaylin Williams,Oklahoma City Thunder,F,6-9,240.0,Arkansas,2000000.0
413,Kenrich Williams,Oklahoma City Thunder,G-F,6-6,210.0,TCU,6175000.0
414,Cole Anthony,Orlando Magic,G,6-3,185.0,North Carolina,5539771.0
415,Paolo Banchero,Orlando Magic,F,6-10,250.0,Duke,11608080.0
416,Goga Bitadze,Orlando Magic,C-F,6-11,250.0,Mega Basket,2066585.0
417,Anthony Black,Orlando Magic,G,6-7,200.0,Arkansas,7245480.0
418,Wendell Carter Jr.,Orlando Magic,C-F,6-10,270.0,Duke,0.0
419,Michael Carter-Williams,Orlando Magic,G,6-5,190.0,Syracuse,0.0
420,Markelle Fultz,Orlando Magic,G,6-4,209.0,Washington,17000000.0
421,Gary Harris,Orlando Magic,G,6-4,210.0,Michigan State,13000000.0
422,Kevon Harris,Orlando Magic,G,6-6,216.0,Stephen F. Austin,559782.0
423,Caleb Houstan,Orlando Magic,G,6-8,205.0,Michigan,2000000.0
424,Jett Howard,Orlando Magic,G,6-8,215.0,Michigan,5026824.0
425,Joe Ingles,Orlando Magic,F-G,6-9,220.0,Maccabi Tel Aviv,11000000.0
426,Jonathan Isaac,Orlando Magic,F,6-10,230.0,Florida State,17400000.0
427,Chuma Okeke,Orlando Magic,F,6-8,229.0,Auburn,5266712.0
428,Admiral Schofield,Orlando Magic,F,6-5,241.0,Tennessee,0.0
429,Jalen Suggs,Orlando Magic,G,6-5,205.0,Gonzaga,7252080.0
430,Franz Wagner,Orlando Magic,F,6-10,220.0,Michigan,5508720.0
431,Moritz Wagner,Orlando Magic,F-C,6-11,245.0,Michigan,8000000.0
432,Mo Bamba,Philadelphia 76ers,C,7-0,231.0,Texas,2346614.0
433,Patrick Beverley,Philadelphia 76ers,G,6-2,180.0,Arkansas,3196448.0
434,Ricky Council IV,Philadelphia 76ers,G,6-6,207.0,Arkansas,0.0
435,Dewayne Dedmon,Philadelphia 76ers,C,6-10,245.0,Southern California,2748674.0
436,Joel Embiid,Philadelphia 76ers,C-F,7-0,280.0,Kansas,47607350.0
437,James Harden,Philadelphia 76ers,G,6-5,220.0,Arizona State,35640000.0
438,Montrezl Harrell,Philadelphia 76ers,F-C,6-7,240.0,Louisville,2891467.0
439,Tobias Harris,Philadelphia 76ers,F,6-7,226.0,Tennessee,39270150.0
440,Danuel House Jr.,Philadelphia 76ers,F-G,6-6,220.0,Texas A&M,0.0
441,Louis King,Philadelphia 76ers,F,6-7,205.0,Oregon,0.0
442,Furkan Korkmaz,Philadelphia 76ers,G-F,6-7,202.0,Anadolu Efes,5370370.0
443,Tyrese Maxey,Philadelphia 76ers,G,6-2,200.0,Kentucky,4343920.0
444,Mac McClung,Philadelphia 76ers,G,6-2,185.0,Texas Tech,0.0
445,De'Anthony Melton,Philadelphia 76ers,G,6-2,200.0,Southern California,8000000.0
446,Filip Petrusev,Philadelphia 76ers,C,6-11,225.0,Gonzaga,1119563.0
447,Paul Reed,Philadelphia 76ers,F,6-9,210.0,DePaul,7723000.0
448,Javonte Smart,Philadelphia 76ers,G,6-4,205.0,Louisiana State,0.0
449,Terquavion Smith,Philadelphia 76ers,G,6-4,160.0,North Carolina State,559782.0
450,Jaden Springer,Philadelphia 76ers,G,6-4,202.0,Tennessee,2226240.0
451,Azuolas Tubelis,Philadelphia 76ers,F,6-11,245.0,Arizona,559782.0
452,P.J. Tucker,Philadelphia 76ers,F,6-5,245.0,Texas,0.0
453,Deandre Ayton,Phoenix Suns,C,7-0,250.0,Arizona,32459438.0
454,Udoka Azubuike,Phoenix Suns,C-F,6-11,270.0,Kansas,559782.0
455,Keita Bates-Diop,Phoenix Suns,F,6-8,229.0,Ohio State,2346614.0
456,Bradley Beal,Phoenix Suns,G,6-4,207.0,Florida,46741590.0
457,Bismack Biyombo,Phoenix Suns,C,6-8,255.0,Baloncesto Fuenlabrada,0.0
458,Bol Bol,Phoenix Suns,C-F,7-2,220.0,Oregon,2165000.0
459,Devin Booker,Phoenix Suns,G,6-5,206.0,Kentucky,36016200.0
461,Kevin Durant,Phoenix Suns,F,6-10,240.0,Texas,47649433.0
462,Drew Eubanks,Phoenix Suns,F-C,6-10,245.0,Oregon State,2346614.0
463,Jordan Goodwin,Phoenix Suns,G,6-3,200.0,St. Louis,1927896.0
464,Eric Gordon,Phoenix Suns,G,6-3,215.0,Indiana,3196448.0
465,Damion Lee,Phoenix Suns,G-F,6-5,210.0,Drexel,2528233.0
466,Saben Lee,Phoenix Suns,G,6-2,183.0,Vanderbilt,559782.0
467,Chimezie Metu,Phoenix Suns,F-C,6-9,225.0,Southern California,2346614.0
468,Josh Okogie,Phoenix Suns,G,6-4,213.0,Georgia Tech,2815937.0
469,Terrence Ross,Phoenix Suns,G-F,6-7,206.0,Washington,0.0
470,Ish Wainright,Phoenix Suns,F,6-5,250.0,Baylor,0.0
471,T.J. Warren,Phoenix Suns,F,6-8,220.0,North Carolina State,0.0
472,Yuta Watanabe,Phoenix Suns,G-F,6-8,215.0,George Washington,2346614.0
473,Ibou Badji,Portland Trail Blazers,C,7-1,240.0,FC Barcelona,559782.0
474,Moses Brown,Portland Trail Blazers,C,7-2,245.0,UCLA,2165000.0
475,John Butler Jr.,Portland Trail Blazers,F,7-0,190.0,Florida State,0.0
476,Jerami Grant,Portland Trail Blazers,F,6-8,210.0,Syracuse,27586207.0
477,Scoot Henderson,Portland Trail Blazers,G,6-2,195.0,NBA G League Ignite,9770904.0
478,Keon Johnson,Portland Trail Blazers,G,6-3,185.0,Tennessee,2808720.0
479,Kevin Knox II,Portland Trail Blazers,F,6-7,215.0,Kentucky,0.0
480,Damian Lillard,Portland Trail Blazers,G,6-2,195.0,Weber State,45640084.0
481,Nassir Little,Portland Trail Blazers,F-G,6-5,220.0,North Carolina,6250000.0
482,Kris Murray,Portland Trail Blazers,F,6-8,220.0,Iowa,2847504.0
483,Jusuf Nurkic,Portland Trail Blazers,C,7-0,290.0,Cedevita,16875000.0
484,Rayan Rupert,Portland Trail Blazers,G-F,6-6,185.0,New Zealand Breakers,1119563.0
485,Shaedon Sharpe,Portland Trail Blazers,G,6-5,200.0,Kentucky,6313800.0
486,Anfernee Simons,Portland Trail Blazers,G,6-3,181.0,Edgewater HS (FL),24107143.0
487,Matisse Thybulle,Portland Trail Blazers,G-F,6-5,201.0,Washington,10500000.0
488,Jabari Walker,Portland Trail Blazers,F,6-7,200.0,Colorado,1719864.0
489,Justise Winslow,Portland Trail Blazers,F-G,6-6,222.0,Duke,0.0
490,Harrison Barnes,Sacramento Kings,F,6-8,225.0,North Carolina,17000000.0
491,Chris Duarte,Sacramento Kings,G,6-5,190.0,Oregon,4124400.0
492,Kessler Edwards,Sacramento Kings,F,6-7,203.0,Pepperdine,1927896.0
493,Keon Ellis,Sacramento Kings,G,6-3,175.0,Alabama,559782.0
494,De'Aaron Fox,Sacramento Kings,G,6-3,185.0,Kentucky,32600060.0
495,Kevin Huerter,Sacramento Kings,G-F,6-7,198.0,Maryland,15669643.0
496,Colby Jones,Sacramento Kings,G,6-6,207.0,Xavier,2019706.0
497,Alex Len,Sacramento Kings,C,7-2,250.0,Maryland,3196448.0
498,Trey Lyles,Sacramento Kings,F,6-9,234.0,Kentucky,8000000.0
499,JaVale McGee,Sacramento Kings,C-F,7-0,270.0,Nevada,5734280.0
500,Davion Mitchell,Sacramento Kings,G,6-0,202.0,Baylor,5063640.0
501,Malik Monk,Sacramento Kings,G,6-3,200.0,Kentucky,9945830.0
502,Keegan Murray,Sacramento Kings,F,6-8,225.0,Iowa,8409000.0
503,Nerlens Noel,Sacramento Kings,C-F,6-10,220.0,Kentucky,3196448.0
504,Neemias Queta,Sacramento Kings,C,7-0,248.0,Utah State,2019706.0
505,Domantas Sabonis,Sacramento Kings,F-C,7-1,240.0,Gonzaga,30600000.0
506,Jalen Slawson,Sacramento Kings,F,6-7,215.0,Furman,559782.0
507,Aleksandar Vezenkov,Sacramento Kings,F,6-9,225.0,"Barcelona, Spain",0.0
508,Dominick Barlow,San Antonio Spurs,F,6-9,215.0,Unknown,559782.0
509,Charles Bassey,San Antonio Spurs,C-F,6-9,230.0,Western Kentucky,2600000.0
510,Khem Birch,San Antonio Spurs,C,6-8,233.0,UNLV,6985000.0
511,Malaki Branham,San Antonio Spurs,F,6-4,180.0,Ohio State,3071880.0
512,Reggie Bullock,San Antonio Spurs,G-F,6-6,205.0,North Carolina,10489600.0
513,Julian Champagnie,San Antonio Spurs,F,6-7,217.0,St. John's,3000000.0
514,Sidy Cissoko,San Antonio Spurs,G,6-8,200.0,NBA G League Ignite,1119563.0
515,Zach Collins,San Antonio Spurs,F-C,6-11,250.0,Gonzaga,7700000.0
516,Devonte' Graham,San Antonio Spurs,G,6-1,195.0,Kansas,0.0
517,Keldon Johnson,San Antonio Spurs,F-G,6-5,220.0,Kentucky,20000000.0
518,Tre Jones,San Antonio Spurs,G,6-1,185.0,Duke,9895833.0
519,Sandro Mamukelashvili,San Antonio Spurs,F-C,6-10,240.0,Seton Hall,2019706.0
520,Doug McDermott,San Antonio Spurs,F,6-6,225.0,Creighton,13750000.0
521,Cedi Osman,San Antonio Spurs,F,6-7,230.0,Anadolu Efes,6718842.0
522,Cameron Payne,San Antonio Spurs,G,6-1,183.0,Murray State,6500000.0
523,Sir'Jabari Rice,San Antonio Spurs,G,6-4,180.0,Texas,559782.0
524,Jeremy Sochan,San Antonio Spurs,F,6-8,230.0,Baylor,5316960.0
525,Devin Vassell,San Antonio Spurs,G-F,6-5,200.0,Florida State,5887899.0
526,Victor Wembanyama,San Antonio Spurs,F-C,7-4,210.0,Metropolitans 92,12160632.0
527,Blake Wesley,San Antonio Spurs,G,6-4,185.0,Notre Dame,2504640.0
528,Precious Achiuwa,Toronto Raptors,F,6-8,225.0,Memphis,4379526.0
529,O.G. Anunoby,Toronto Raptors,F,6-7,232.0,Indiana,0.0
530,Scottie Barnes,Toronto Raptors,F,6-8,225.0,Florida State,8008680.0
531,Chris Boucher,Toronto Raptors,F-C,6-9,200.0,Oregon,11750000.0
532,Gradey Dick,Toronto Raptors,G,6-8,205.0,Kansas,4536708.0
533,Jeff Dowtin Jr.,Toronto Raptors,G,6-3,177.0,Rhode Island,0.0
534,Malachi Flynn,Toronto Raptors,G,6-1,175.0,San Diego State,3873024.0
535,Javon Freeman-Liberty,Toronto Raptors,G,6-4,180.0,DePaul,0.0
536,Mouhamadou Gueye,Toronto Raptors,F,6-9,210.0,Pittsburgh,1119563.0
537,Ron Harper Jr.,Toronto Raptors,F,6-5,245.0,Rutgers,0.0
538,Christian Koloko,Toronto Raptors,C,7-0,230.0,Arizona,1719864.0
539,Jalen McDaniels,Toronto Raptors,F-C,6-9,205.0,San Diego State,4516000.0
540,Markquis Nowell,Toronto Raptors,G,5-8,160.0,Kansas State,559782.0
542,Jakob Poeltl,Toronto Raptors,C,7-1,245.0,Utah,20000000.0
543,Otto Porter Jr.,Toronto Raptors,F,6-8,198.0,Georgetown,0.0
544,Dennis Schroder,Toronto Raptors,G,6-1,172.0,Braunschweig,0.0
545,Pascal Siakam,Toronto Raptors,F,6-8,230.0,New Mexico State,37893408.0
546,Garrett Temple,Toronto Raptors,G-F,6-6,195.0,Louisiana State,3196448.0
547,Gary Trent Jr.,Toronto Raptors,G-F,6-5,209.0,Duke,0.0
548,Thaddeus Young,Toronto Raptors,F,6-8,235.0,Georgia Tech,8000000.0
549,Ochai Agbaji,Utah Jazz,G,6-5,215.0,Kansas,4114200.0
550,Jordan Clarkson,Utah Jazz,G,6-5,194.0,Missouri,23487629.0
551,John Collins,Utah Jazz,F-C,6-9,226.0,Wake Forest,25340000.0
552,Kris Dunn,Utah Jazz,G,6-3,205.0,Providence,2586484.0
553,Simone Fontecchio,Utah Jazz,F,6-7,209.0,Baskonia,3044872.0
554,Keyonte George,Utah Jazz,G,6-4,185.0,Baylor,3889776.0
555,Joey Hauser,Utah Jazz,F,6-9,230.0,Michigan State,559782.0
556,Taylor Hendricks,Utah Jazz,F,6-10,215.0,Central Florida,5569872.0
557,Talen Horton-Tucker,Utah Jazz,G,6-4,234.0,Iowa State,11020000.0
558,Johnny Juzang,Utah Jazz,G,6-6,209.0,UCLA,559782.0
559,Walker Kessler,Utah Jazz,C,7-0,245.0,Auburn,2831160.0
560,Taevion Kinsey,Utah Jazz,G,6-5,190.0,Marshall,1119563.0
561,Romeo Langford,Utah Jazz,G-F,6-5,216.0,Indiana,2092354.0
562,Lauri Markkanen,Utah Jazz,F-C,7-0,240.0,Arizona,17259999.0
563,Kelly Olynyk,Utah Jazz,F-C,6-11,240.0,Gonzaga,12195122.0
565,Micah Potter,Utah Jazz,C,6-8,248.0,Wisconsin,559782.0
566,Luka Samanic,Utah Jazz,F,6-10,227.0,Union Olimpija,2066585.0
567,Brice Sensabaugh,Utah Jazz,F,6-6,235.0,Ohio State,2448600.0
568,Collin Sexton,Utah Jazz,G,6-2,190.0,Alabama,17325000.0
569,Omer Yurtseven,Utah Jazz,C,6-11,275.0,Georgetown,2800000.0
570,Deni Avdija,Washington Wizards,F,6-9,210.0,Maccabi Tel Aviv,6263188.0
571,Patrick Baldwin,Washington Wizards,F,6-9,220.0,Wisconsin-Milwaukee,2337720.0
572,Jared Butler,Washington Wizards,G,6-3,193.0,Baylor,559782.0
573,Xavier Cooks,Washington Wizards,F,6-8,183.0,Winthrop,1719864.0
574,Bilal Coulibaly,Washington Wizards,G,6-6,195.0,Metropolitans 92,6614256.0
575,Johnny Davis,Washington Wizards,G,6-4,195.0,Wisconsin,5050800.0
576,Daniel Gafford,Washington Wizards,F-C,6-10,234.0,Arkansas,12402000.0
577,Danilo Gallinari,Washington Wizards,F,6-10,236.0,Olimpia Milano,6802950.0
578,Taj Gibson,Washington Wizards,F,6-9,232.0,Southern California,0.0
579,Anthony Gill,Washington Wizards,F,6-8,230.0,Virginia,1997238.0
580,Tyus Jones,Washington Wizards,G,6-2,196.0,Duke,14000000.0
581,Corey Kispert,Washington Wizards,F,6-6,224.0,Gonzaga,3722040.0
582,Kyle Kuzma,Washington Wizards,F,6-9,221.0,Utah,25568182.0
583,Mike Muscala,Washington Wizards,F-C,6-11,240.0,Bucknell,3500000.0
584,Kendrick Nunn,Washington Wizards,G,6-3,190.0,Oakland,0.0
585,Eugene Omoruyi,Washington Wizards,F,6-6,235.0,Oregon,559782.0
586,Jordan Poole,Washington Wizards,G,6-4,194.0,Michigan,27955357.0
587,Ryan Rollins,Washington Wizards,G,6-3,180.0,Toledo,1719864.0
588,Landry Shamet,Washington Wizards,G,6-4,190.0,Wichita State,10250000.0
589,Tristan Vukcevic,Washington Wizards,F,6-10,220.0,Real Madrid,0.0
590,Delon Wright,Washington Wizards,G,6-5,185.0,Utah,8195122.0
