Age,Annual_Income,Credit_Score,Employment_Status,Debt_Income_Ratio,Residence,Marital_Status,Number_of_Dependents,Credit_History_Length,Approval_Status
25-34,<20k,Credit_Very Good,Student,DIB_Low,Residence_Rent,MS_Divorced,Dep_0,5-10 years,App_Grant
25-34,80-100k,Credit_Fair,Employed,DIB_High,Residence_Rent,MS_Single,Dep_2,5-10 years,App_Grant
35-44,40-60k,Credit_Fair,Unemployed,DIB_Low,Residence_Own,MS_Married,Dep_1,5-10 years,App_Denied
35-44,<20k,Credit_Poor,Employed,DIB_Low,Residence_Own,MS_Single,Dep_1,5-10 years,App_Denied
25-34,80-100k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
35-44,80-100k,Credit_Fair,Employed,DIB_High,Residence_Rent,MS_Single,Dep_0,1-3 years,App_Denied
55+,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,10+ years,App_Grant
45-54,20-40k,Credit_Fair,Self-Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_0,3-5 years,App_Denied
25-34,<20k,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_1,10+ years,App_Grant
25-34,60-80k,Credit_Very Good,Employed,DIB_High,Residence_Own,MS_Single,Dep_2,3-5 years,App_Denied
25-34,60-80k,Credit_Excellent,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_0,1-3 years,App_Grant
25-34,60-80k,Credit_Fair,Employed,DIB_Moderate,Residence_Rent,MS_Married,Dep_2,10+ years,App_Grant
<25,80-100k,Credit_Very Good,Self-Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_2,5-10 years,App_Grant
45-54,40-60k,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,5-10 years,App_Grant
25-34,<20k,Credit_Excellent,Unemployed,DIB_Low,Residence_Rent,MS_Married,Dep_1,<1 year,App_Grant
45-54,100k+,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,10+ years,App_Grant
55+,40-60k,Credit_Poor,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Denied
<25,60-80k,Credit_Good,Retired,DIB_Low,Residence_Other,MS_Divorced,Dep_0,3-5 years,App_Grant
55+,100k+,Credit_Fair,Unemployed,DIB_Low,Residence_Own,MS_Married,Dep_0,10+ years,App_Grant
35-44,100k+,Credit_Poor,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_1,5-10 years,App_Grant
35-44,60-80k,Credit_Very Good,Unemployed,DIB_High,Residence_Own,MS_Single,Dep_0,1-3 years,App_Denied
25-34,20-40k,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Divorced,Dep_0,3-5 years,App_Grant
35-44,100k+,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
25-34,60-80k,Credit_Very Good,Student,DIB_Moderate,Residence_Own,MS_Married,Dep_1,10+ years,App_Grant
35-44,40-60k,Credit_Good,Unemployed,DIB_Low,Residence_Own,MS_Married,Dep_3,1-3 years,App_Grant
<25,60-80k,Credit_Good,Self-Employed,DIB_Moderate,Residence_Own,MS_Married,Dep_0,5-10 years,App_Grant
35-44,40-60k,Credit_Good,Employed,DIB_High,Residence_Own,MS_Widowed,Dep_0,5-10 years,App_Denied
25-34,80-100k,Credit_Very Good,Self-Employed,DIB_Low,Residence_Other,MS_Single,Dep_1,1-3 years,App_Grant
<25,40-60k,Credit_Fair,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,<1 year,App_Denied
35-44,80-100k,Credit_Fair,Unemployed,DIB_Low,Residence_Own,MS_Married,Dep_1,3-5 years,App_Denied
35-44,80-100k,Credit_Good,Student,DIB_Low,Residence_Own,MS_Widowed,Dep_0,5-10 years,App_Grant
25-34,80-100k,Credit_Good,Unemployed,DIB_Moderate,Residence_Own,MS_Divorced,Dep_2,3-5 years,App_Grant
<25,60-80k,Credit_Very Good,Employed,DIB_High,Residence_Rent,MS_Married,Dep_1,5-10 years,App_Grant
45-54,80-100k,Credit_Good,Student,DIB_Moderate,Residence_Rent,MS_Divorced,Dep_0,3-5 years,App_Grant
35-44,40-60k,Credit_Fair,Unemployed,DIB_Low,Residence_Other,MS_Single,Dep_1,5-10 years,App_Denied
<25,<20k,Credit_Fair,Employed,DIB_High,Residence_Rent,MS_Single,Dep_1,<1 year,App_Denied
35-44,80-100k,Credit_Fair,Self-Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,<1 year,App_Denied
25-34,40-60k,Credit_Very Good,Retired,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,5-10 years,App_Grant
<25,<20k,Credit_Good,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_0,5-10 years,App_Grant
35-44,<20k,Credit_Very Good,Employed,DIB_High,Residence_Own,MS_Divorced,Dep_1,3-5 years,App_Denied
45-54,20-40k,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Grant
35-44,80-100k,Credit_Excellent,Self-Employed,DIB_High,Residence_Rent,MS_Married,Dep_1,3-5 years,App_Grant
25-34,60-80k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_2,1-3 years,App_Grant
45-54,20-40k,Credit_Very Good,Student,DIB_Moderate,Residence_Own,MS_Married,Dep_3,5-10 years,App_Grant
25-34,80-100k,Credit_Excellent,Unemployed,DIB_Moderate,Residence_Own,MS_Single,Dep_1,3-5 years,App_Grant
55+,20-40k,Credit_Good,Employed,DIB_Moderate,Residence_Own,MS_Married,Dep_1,3-5 years,App_Grant
<25,80-100k,Credit_Excellent,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_1,3-5 years,App_Grant
25-34,40-60k,Credit_Very Good,Retired,DIB_Low,Residence_Other,MS_Married,Dep_4,5-10 years,App_Grant
35-44,60-80k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,1-3 years,App_Grant
25-34,40-60k,Credit_Good,Retired,DIB_Low,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Grant
45-54,20-40k,Credit_Very Good,Student,DIB_High,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Denied
35-44,80-100k,Credit_Good,Student,DIB_High,Residence_Rent,MS_Single,Dep_1,5-10 years,App_Grant
<25,<20k,Credit_Fair,Student,DIB_Low,Residence_Other,MS_Single,Dep_0,3-5 years,App_Denied
35-44,100k+,Credit_Good,Student,DIB_High,Residence_Own,MS_Married,Dep_0,1-3 years,App_Denied
25-34,60-80k,Credit_Excellent,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,10+ years,App_Grant
25-34,40-60k,Credit_Poor,Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_4,3-5 years,App_Denied
55+,60-80k,Credit_Good,Unemployed,DIB_Low,Residence_Rent,MS_Married,Dep_4,1-3 years,App_Grant
45-54,<20k,Credit_Good,Employed,DIB_High,Residence_Rent,MS_Single,Dep_2,5-10 years,App_Denied
25-34,40-60k,Credit_Good,Employed,DIB_Moderate,Residence_Other,MS_Married,Dep_0,5-10 years,App_Grant
35-44,100k+,Credit_Excellent,Unemployed,DIB_Low,Residence_Own,MS_Single,Dep_3,3-5 years,App_Grant
25-34,20-40k,Credit_Excellent,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_3,3-5 years,App_Grant
45-54,60-80k,Credit_Good,Student,DIB_Low,Residence_Own,MS_Married,Dep_3,1-3 years,App_Grant
55+,40-60k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Denied
25-34,60-80k,Credit_Good,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,1-3 years,App_Grant
45-54,20-40k,Credit_Good,Self-Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,3-5 years,App_Grant
25-34,40-60k,Credit_Good,Employed,DIB_High,Residence_Rent,MS_Married,Dep_3,3-5 years,App_Denied
25-34,100k+,Credit_Fair,Employed,DIB_Moderate,Residence_Own,MS_Married,Dep_0,3-5 years,App_Denied
55+,20-40k,Credit_Good,Student,DIB_Low,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
35-44,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_1,3-5 years,App_Denied
25-34,60-80k,Credit_Very Good,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,1-3 years,App_Grant
35-44,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_3,1-3 years,App_Denied
25-34,60-80k,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Married,Dep_0,1-3 years,App_Grant
25-34,40-60k,Credit_Poor,Self-Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,1-3 years,App_Denied
55+,<20k,Credit_Excellent,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_5,5-10 years,App_Grant
35-44,100k+,Credit_Good,Retired,DIB_Low,Residence_Rent,MS_Married,Dep_0,5-10 years,App_Grant
45-54,80-100k,Credit_Poor,Unemployed,DIB_Low,Residence_Rent,MS_Married,Dep_3,5-10 years,App_Grant
25-34,20-40k,Credit_Good,Employed,DIB_High,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Denied
35-44,40-60k,Credit_Excellent,Student,DIB_Low,Residence_Rent,MS_Married,Dep_1,1-3 years,App_Grant
55+,80-100k,Credit_Very Good,Student,DIB_Low,Residence_Other,MS_Married,Dep_0,5-10 years,App_Grant
25-34,100k+,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,3-5 years,App_Grant
25-34,100k+,Credit_Fair,Employed,DIB_Low,Residence_Other,MS_Single,Dep_0,<1 year,App_Denied
35-44,80-100k,Credit_Very Good,Self-Employed,DIB_Low,Residence_Rent,MS_Single,Dep_4,10+ years,App_Grant
25-34,20-40k,Credit_Very Good,Unemployed,DIB_Low,Residence_Rent,MS_Single,Dep_0,<1 year,App_Grant
25-34,100k+,Credit_Good,Employed,DIB_High,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Denied
45-54,80-100k,Credit_Excellent,Self-Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_3,3-5 years,App_Grant
55+,40-60k,Credit_Fair,Employed,DIB_Moderate,Residence_Other,MS_Single,Dep_1,5-10 years,App_Denied
35-44,40-60k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Widowed,Dep_1,10+ years,App_Denied
45-54,40-60k,Credit_Excellent,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_1,10+ years,App_Grant
45-54,60-80k,Credit_Good,Student,DIB_Low,Residence_Own,MS_Married,Dep_0,3-5 years,App_Grant
35-44,20-40k,Credit_Poor,Employed,DIB_Low,Residence_Rent,MS_Divorced,Dep_0,5-10 years,App_Denied
<25,<20k,Credit_Good,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_3,<1 year,App_Grant
25-34,<20k,Credit_Excellent,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,3-5 years,App_Grant
<25,40-60k,Credit_Poor,Employed,DIB_Low,Residence_Own,MS_Widowed,Dep_0,10+ years,App_Denied
<25,20-40k,Credit_Poor,Employed,DIB_Low,Residence_Rent,MS_Divorced,Dep_1,3-5 years,App_Denied
25-34,80-100k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,<1 year,App_Denied
25-34,<20k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_2,1-3 years,App_Grant
25-34,100k+,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Grant
<25,80-100k,Credit_Good,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_3,1-3 years,App_Grant
35-44,100k+,Credit_Good,Self-Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_0,3-5 years,App_Grant
25-34,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,1-3 years,App_Denied
45-54,<20k,Credit_Fair,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_2,1-3 years,App_Denied
<25,40-60k,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,<1 year,App_Grant
45-54,<20k,Credit_Fair,Unemployed,DIB_Low,Residence_Own,MS_Single,Dep_1,10+ years,App_Denied
55+,100k+,Credit_Good,Unemployed,DIB_Moderate,Residence_Own,MS_Single,Dep_2,5-10 years,App_Grant
35-44,20-40k,Credit_Good,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,3-5 years,App_Grant
35-44,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Other,MS_Single,Dep_1,3-5 years,App_Denied
55+,80-100k,Credit_Good,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
25-34,100k+,Credit_Good,Unemployed,DIB_Low,Residence_Own,MS_Married,Dep_2,5-10 years,App_Grant
55+,80-100k,Credit_Very Good,Employed,DIB_Low,Residence_Own,MS_Single,Dep_0,10+ years,App_Grant
45-54,60-80k,Credit_Fair,Retired,DIB_High,Residence_Own,MS_Divorced,Dep_3,<1 year,App_Denied
35-44,40-60k,Credit_Fair,Self-Employed,DIB_High,Residence_Own,MS_Single,Dep_0,<1 year,App_Denied
25-34,60-80k,Credit_Good,Employed,DIB_Low,Residence_Rent,MS_Divorced,Dep_2,5-10 years,App_Grant
35-44,<20k,Credit_Excellent,Student,DIB_Moderate,Residence_Rent,MS_Single,Dep_1,1-3 years,App_Grant
35-44,80-100k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Single,Dep_0,10+ years,App_Grant
35-44,40-60k,Credit_Excellent,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,5-10 years,App_Grant
35-44,<20k,Credit_Very Good,Employed,DIB_Moderate,Residence_Rent,MS_Divorced,Dep_0,3-5 years,App_Grant
<25,100k+,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
25-34,40-60k,Credit_Poor,Employed,DIB_Low,Residence_Other,MS_Married,Dep_0,5-10 years,App_Denied
25-34,80-100k,Credit_Fair,Employed,DIB_Moderate,Residence_Rent,MS_Widowed,Dep_3,1-3 years,App_Denied
25-34,80-100k,Credit_Poor,Unemployed,DIB_Moderate,Residence_Other,MS_Single,Dep_0,10+ years,App_Grant
25-34,80-100k,Credit_Good,Employed,DIB_High,Residence_Own,MS_Married,Dep_4,<1 year,App_Denied
<25,<20k,Credit_Excellent,Unemployed,DIB_Moderate,Residence_Own,MS_Single,Dep_0,10+ years,App_Grant
25-34,20-40k,Credit_Fair,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_1,1-3 years,App_Denied
25-34,80-100k,Credit_Good,Self-Employed,DIB_Low,Residence_Rent,MS_Single,Dep_3,5-10 years,App_Grant
<25,80-100k,Credit_Poor,Employed,DIB_Low,Residence_Own,MS_Single,Dep_3,<1 year,App_Denied
55+,40-60k,Credit_Very Good,Self-Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
45-54,40-60k,Credit_Fair,Employed,DIB_High,Residence_Own,MS_Single,Dep_1,3-5 years,App_Denied
35-44,20-40k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,<1 year,App_Denied
25-34,100k+,Credit_Fair,Employed,DIB_High,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Denied
35-44,20-40k,Credit_Very Good,Student,DIB_Low,Residence_Rent,MS_Married,Dep_2,1-3 years,App_Grant
35-44,20-40k,Credit_Fair,Unemployed,DIB_Low,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Denied
55+,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Other,MS_Single,Dep_0,3-5 years,App_Denied
35-44,20-40k,Credit_Poor,Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_0,5-10 years,App_Denied
35-44,100k+,Credit_Excellent,Employed,DIB_Moderate,Residence_Other,MS_Single,Dep_0,1-3 years,App_Grant
45-54,<20k,Credit_Good,Employed,DIB_Low,Residence_Own,MS_Single,Dep_0,<1 year,App_Grant
25-34,<20k,Credit_Very Good,Employed,DIB_High,Residence_Rent,MS_Married,Dep_3,3-5 years,App_Denied
<25,40-60k,Credit_Very Good,Student,DIB_Moderate,Residence_Rent,MS_Married,Dep_0,10+ years,App_Grant
35-44,40-60k,Credit_Fair,Self-Employed,DIB_Low,Residence_Rent,MS_Single,Dep_1,10+ years,App_Denied
<25,20-40k,Credit_Good,Student,DIB_Moderate,Residence_Rent,MS_Single,Dep_2,3-5 years,App_Grant
<25,40-60k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,10+ years,App_Denied
35-44,40-60k,Credit_Good,Employed,DIB_Moderate,Residence_Own,MS_Married,Dep_2,5-10 years,App_Grant
25-34,80-100k,Credit_Good,Unemployed,DIB_Low,Residence_Rent,MS_Single,Dep_1,1-3 years,App_Grant
35-44,<20k,Credit_Good,Student,DIB_Low,Residence_Own,MS_Divorced,Dep_1,1-3 years,App_Grant
55+,100k+,Credit_Fair,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_0,1-3 years,App_Denied
25-34,60-80k,Credit_Poor,Employed,DIB_High,Residence_Own,MS_Married,Dep_3,1-3 years,App_Denied
25-34,20-40k,Credit_Very Good,Student,DIB_Moderate,Residence_Rent,MS_Single,Dep_4,3-5 years,App_Grant
<25,<20k,Credit_Very Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Grant
<25,40-60k,Credit_Poor,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_0,3-5 years,App_Denied
<25,20-40k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Married,Dep_1,1-3 years,App_Denied
<25,20-40k,Credit_Excellent,Employed,DIB_High,Residence_Rent,MS_Single,Dep_1,5-10 years,App_Denied
25-34,20-40k,Credit_Very Good,Student,DIB_Low,Residence_Other,MS_Married,Dep_2,3-5 years,App_Grant
25-34,60-80k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Widowed,Dep_1,3-5 years,App_Grant
35-44,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,10+ years,App_Grant
45-54,<20k,Credit_Good,Unemployed,DIB_Low,Residence_Rent,MS_Single,Dep_1,1-3 years,App_Grant
45-54,40-60k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Denied
35-44,80-100k,Credit_Good,Employed,DIB_Low,Residence_Other,MS_Single,Dep_2,5-10 years,App_Grant
<25,<20k,Credit_Fair,Unemployed,DIB_Low,Residence_Rent,MS_Single,Dep_0,10+ years,App_Denied
35-44,80-100k,Credit_Fair,Employed,DIB_Moderate,Residence_Rent,MS_Widowed,Dep_1,1-3 years,App_Denied
25-34,60-80k,Credit_Poor,Employed,DIB_Moderate,Residence_Rent,MS_Widowed,Dep_0,5-10 years,App_Grant
<25,100k+,Credit_Very Good,Self-Employed,DIB_Moderate,Residence_Other,MS_Single,Dep_0,10+ years,App_Grant
45-54,<20k,Credit_Good,Unemployed,DIB_Low,Residence_Own,MS_Single,Dep_0,3-5 years,App_Grant
25-34,100k+,Credit_Good,Self-Employed,DIB_Moderate,Residence_Rent,MS_Divorced,Dep_3,1-3 years,App_Grant
25-34,60-80k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,5-10 years,App_Grant
45-54,60-80k,Credit_Very Good,Employed,DIB_Moderate,Residence_Rent,MS_Married,Dep_0,1-3 years,App_Grant
55+,40-60k,Credit_Good,Retired,DIB_Low,Residence_Rent,MS_Single,Dep_2,3-5 years,App_Grant
25-34,<20k,Credit_Excellent,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_1,10+ years,App_Grant
25-34,100k+,Credit_Good,Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_1,3-5 years,App_Grant
35-44,60-80k,Credit_Fair,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_1,<1 year,App_Denied
35-44,<20k,Credit_Excellent,Employed,DIB_High,Residence_Other,MS_Married,Dep_0,1-3 years,App_Denied
<25,<20k,Credit_Poor,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Denied
35-44,<20k,Credit_Good,Unemployed,DIB_Low,Residence_Rent,MS_Divorced,Dep_0,3-5 years,App_Grant
55+,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,5-10 years,App_Grant
25-34,60-80k,Credit_Good,Employed,DIB_High,Residence_Rent,MS_Single,Dep_0,5-10 years,App_Grant
55+,40-60k,Credit_Good,Self-Employed,DIB_Low,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Grant
55+,20-40k,Credit_Fair,Unemployed,DIB_High,Residence_Own,MS_Married,Dep_0,10+ years,App_Denied
25-34,40-60k,Credit_Good,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_0,10+ years,App_Grant
45-54,40-60k,Credit_Very Good,Employed,DIB_High,Residence_Rent,MS_Married,Dep_4,<1 year,App_Denied
25-34,<20k,Credit_Fair,Employed,DIB_High,Residence_Rent,MS_Single,Dep_3,1-3 years,App_Denied
35-44,20-40k,Credit_Good,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_0,1-3 years,App_Grant
45-54,<20k,Credit_Fair,Unemployed,DIB_Low,Residence_Own,MS_Married,Dep_2,1-3 years,App_Denied
25-34,100k+,Credit_Very Good,Employed,DIB_Low,Residence_Own,MS_Married,Dep_1,1-3 years,App_Grant
35-44,60-80k,Credit_Very Good,Self-Employed,DIB_High,Residence_Rent,MS_Single,Dep_2,3-5 years,App_Denied
45-54,100k+,Credit_Excellent,Self-Employed,DIB_High,Residence_Other,MS_Single,Dep_0,<1 year,App_Grant
25-34,20-40k,Credit_Fair,Employed,DIB_Low,Residence_Other,MS_Married,Dep_0,1-3 years,App_Denied
25-34,80-100k,Credit_Poor,Student,DIB_Low,Residence_Own,MS_Married,Dep_3,<1 year,App_Denied
<25,60-80k,Credit_Fair,Self-Employed,DIB_High,Residence_Own,MS_Single,Dep_3,<1 year,App_Denied
35-44,40-60k,Credit_Fair,Employed,DIB_Moderate,Residence_Own,MS_Single,Dep_1,3-5 years,App_Denied
55+,20-40k,Credit_Good,Retired,DIB_High,Residence_Own,MS_Single,Dep_3,1-3 years,App_Denied
45-54,60-80k,Credit_Excellent,Employed,DIB_High,Residence_Rent,MS_Married,Dep_1,10+ years,App_Grant
25-34,100k+,Credit_Good,Employed,DIB_High,Residence_Other,MS_Married,Dep_0,1-3 years,App_Denied
35-44,20-40k,Credit_Excellent,Employed,DIB_Low,Residence_Own,MS_Single,Dep_0,10+ years,App_Grant
25-34,20-40k,Credit_Poor,Student,DIB_Low,Residence_Own,MS_Married,Dep_0,<1 year,App_Denied
25-34,60-80k,Credit_Excellent,Employed,DIB_Low,Residence_Own,MS_Single,Dep_2,3-5 years,App_Grant
25-34,100k+,Credit_Fair,Unemployed,DIB_High,Residence_Own,MS_Married,Dep_4,1-3 years,App_Denied
25-34,60-80k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_1,5-10 years,App_Grant
35-44,20-40k,Credit_Poor,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_1,<1 year,App_Denied
55+,40-60k,Credit_Excellent,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_2,10+ years,App_Grant
35-44,40-60k,Credit_Fair,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_0,<1 year,App_Denied
35-44,80-100k,Credit_Fair,Employed,DIB_High,Residence_Own,MS_Divorced,Dep_0,1-3 years,App_Denied
<25,80-100k,Credit_Good,Employed,DIB_Moderate,Residence_Own,MS_Married,Dep_1,3-5 years,App_Grant
55+,60-80k,Credit_Good,Self-Employed,DIB_Moderate,Residence_Own,MS_Married,Dep_1,5-10 years,App_Grant
45-54,20-40k,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_3,10+ years,App_Grant
45-54,100k+,Credit_Excellent,Employed,DIB_High,Residence_Rent,MS_Single,Dep_0,3-5 years,App_Grant
25-34,60-80k,Credit_Good,Employed,DIB_Low,Residence_Rent,MS_Divorced,Dep_1,5-10 years,App_Grant
35-44,100k+,Credit_Very Good,Student,DIB_Moderate,Residence_Own,MS_Divorced,Dep_2,5-10 years,App_Grant
35-44,60-80k,Credit_Poor,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Denied
25-34,80-100k,Credit_Good,Unemployed,DIB_Low,Residence_Own,MS_Single,Dep_1,5-10 years,App_Grant
35-44,80-100k,Credit_Good,Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_0,<1 year,App_Grant
55+,20-40k,Credit_Excellent,Self-Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_1,3-5 years,App_Grant
25-34,100k+,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_2,5-10 years,App_Grant
<25,<20k,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Grant
35-44,80-100k,Credit_Fair,Employed,DIB_Low,Residence_Rent,MS_Single,Dep_2,10+ years,App_Grant
25-34,100k+,Credit_Fair,Employed,DIB_High,Residence_Own,MS_Single,Dep_0,5-10 years,App_Grant
35-44,20-40k,Credit_Good,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,10+ years,App_Grant
35-44,60-80k,Credit_Fair,Employed,DIB_Low,Residence_Own,MS_Single,Dep_1,1-3 years,App_Denied
25-34,60-80k,Credit_Fair,Self-Employed,DIB_Low,Residence_Own,MS_Divorced,Dep_3,1-3 years,App_Denied
45-54,80-100k,Credit_Poor,Retired,DIB_High,Residence_Own,MS_Widowed,Dep_0,<1 year,App_Denied
35-44,80-100k,Credit_Very Good,Employed,DIB_Low,Residence_Rent,MS_Married,Dep_0,10+ years,App_Grant
45-54,60-80k,Credit_Poor,Employed,DIB_High,Residence_Own,MS_Widowed,Dep_1,1-3 years,App_Denied
45-54,80-100k,Credit_Excellent,Unemployed,DIB_Low,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Grant
45-54,20-40k,Credit_Fair,Self-Employed,DIB_Low,Residence_Rent,MS_Married,Dep_0,1-3 years,App_Denied
<25,20-40k,Credit_Poor,Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,<1 year,App_Denied
25-34,40-60k,Credit_Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_2,1-3 years,App_Grant
<25,60-80k,Credit_Good,Self-Employed,DIB_Low,Residence_Rent,MS_Single,Dep_4,<1 year,App_Grant
25-34,20-40k,Credit_Good,Self-Employed,DIB_Moderate,Residence_Rent,MS_Married,Dep_0,3-5 years,App_Grant
45-54,60-80k,Credit_Good,Employed,DIB_Low,Residence_Own,MS_Married,Dep_1,10+ years,App_Grant
25-34,40-60k,Credit_Fair,Unemployed,DIB_Low,Residence_Other,MS_Married,Dep_0,5-10 years,App_Denied
45-54,80-100k,Credit_Very Good,Employed,DIB_High,Residence_Own,MS_Married,Dep_1,5-10 years,App_Grant
25-34,<20k,Credit_Good,Employed,DIB_Moderate,Residence_Other,MS_Married,Dep_0,3-5 years,App_Grant
25-34,60-80k,Credit_Fair,Self-Employed,DIB_Low,Residence_Own,MS_Married,Dep_0,5-10 years,App_Grant
45-54,60-80k,Credit_Very Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_2,10+ years,App_Grant
25-34,100k+,Credit_Very Good,Employed,DIB_Moderate,Residence_Rent,MS_Single,Dep_0,10+ years,App_Grant
