No.,Residence,ALGEBRA,TRIGO,ADVALGEBRA,ANAGEO,DIFCAL,INTCAL,DIFEQU,STATS,ADVENGMAT,NUMERICAL,MATAVERAGE,PHY01A,PHY02A,ENG01,ENG02A,ENG03A,ENGECO,VECTOR,ELXDEVICE,ELXCIRCUITS,SIGNALS,PRINCO,LCST,DIGICOM,TRANS,MICRO,BROADCAST,CONTROLSYS,ECEAVERAGE,CIRC1,ELEMAG,CIRC2,ELEAVERAGE,VA,VR,FR,QR,SCHEME,On-Time,WithHonors,Passer
98,lucban,1.75,2.25,1.25,2,2,1.75,1.75,2,1.5,1.5,1.78,2.75,2.25,1.5,1.25,2.25,1.5,2,1.25,2,1.5,1.5,2,1.75,1.75,1.75,2.25,2.25,1.8,1.5,2.25,1.75,1.833333333,AA,AA,AA,A,A,NO,NO,YES
99,sariaya,1.5,1.75,2.25,1.75,2.5,2,2.5,2,2,1.5,1.98,2.75,2.75,3,2.25,1.75,2,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,A,AA,A,A,A,YES,NO,YES
100,pagbilao,2.75,2.75,3,3,3,3,2.5,3,2,2.25,2.73,3,3,3,3,3,3,3,3,2.75,3,2.25,3,2.75,2.25,3,3,3,2.8,2.75,3,2.25,2.666666667,A,A,A,AA,B,YES,NO,NO
101,sampaloc,2.75,2.75,2.5,2.25,2.5,3,2.75,2.75,2,2.25,2.55,3,3,1.5,2.75,3,2.5,3,2.25,3,2.5,2,2.75,2.25,1.75,3,3,2.75,2.525,2.5,2,2.25,2.25,A,AA,A,A,C,YES,NO,YES
102,lucena,2.5,2.75,2.75,3,3,3,2.75,3,2,1.75,2.65,2.75,3,3,3,2.25,3,2.5,3,2,2,3,2,1.75,2.75,3,3,2.75,2.525,2,2,2.25,2.083333333,A,AA,A,AA,B,YES,NO,YES
103,lucban,2.25,2.5,2.25,1.75,2.25,1.75,2.25,2.5,2,2.25,2.18,2.5,2.25,1.75,2,2.5,3,2.75,2.5,3,3,1.75,2.25,2,2,2,2.5,2.75,2.375,2,2,2,2,AA,AA,A,AA,B,YES,NO,YES
104,cavinti,3,3,3,3,3,3,2.75,3,1.75,2,2.75,3,3,2,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2.666666667,AA,A,A,A,A,YES,NO,NO
105,sariaya,2.5,3,1.75,2.25,2.5,2.5,2.25,2.5,2.75,2,2.4,2.25,2.5,1.75,2.25,2.75,2.25,3,2,2.75,1.75,2.25,2.75,2.25,1.75,2.5,3,2.5,2.35,2.5,2.41,2.25,2.386666667,A,A,A,AA,B,YES,NO,NO
106,cavinti,2.75,3,2.5,2.75,3,3,3,3,2.25,2.5,2.78,3,3,3,3,3,3,3,3,3,3,3,3,2.25,2.75,3,3,2.75,2.875,3,3,2.75,2.916666667,A,A,AA,A,A,NO,NO,NO
107,lucena,2.75,3,3,3,2.75,2,2.5,2.5,1.75,2.75,2.6,2.75,3,3,2.25,3,2.5,3,2.5,2.75,3,2.25,2.75,2.25,2.25,3,3,3,2.675,3,2.25,2.75,2.666666667,A,A,A,A,A,YES,NO,NO
108,majayjay,2.75,2.25,2.5,3,3,2.75,2.25,3,2,1.5,2.5,3,3,2.25,2.5,2,2.25,1.75,1.5,3,1.75,2.5,2,1.5,2.5,2.25,2.75,2.5,2.225,3,2,1.75,2.25,A,AA,A,A,B,YES,NO,YES
109,real,3,3,3,3,3,3,2.5,2.75,2.5,1.5,2.73,3,1.75,3,2.75,3,2.25,3,2,2.75,2.5,2.5,2.75,1.75,2.25,3,3,3,2.55,2.75,3,1.75,2.5,A,A,A,A,A,YES,NO,NO
110,lucban,2.5,2.25,2.75,2.25,2,2.25,2.25,2.5,2.5,2.25,2.35,2.5,2.25,3,2.25,2.25,2.25,3,3,3,3,2.5,3,2.75,3,2.75,3,3,2.9,3,3,2.75,2.916666667,A,A,A,A,A,YES,NO,NO
111,sta. cruz,2.25,3,2,1.75,2.5,2.5,2.25,1.75,1.75,2.25,2.2,2.75,2.75,1.75,3,3,3,3,2.75,3,3,3,2.5,2.5,2.5,3,3,2,2.725,2.25,3,1.75,2.333333333,A,A,A,AA,B,YES,NO,NO
112,nagcarlan,3,2.5,2.5,2.5,3,3,2.25,2.5,2.25,2.25,2.58,2.5,2.25,2,2.5,2.25,3,2,2.25,3,3,3,3,2.75,2.5,3,3,3,2.85,2.5,2.25,2,2.25,A,A,A,A,C,YES,NO,NO
113,lucena,2.25,3,2.25,3,3,3,2.5,3,2,2.25,2.63,3,2.5,2.25,2.5,3,3,3,3,3,3,3,1.5,2.25,3,3,3,3,2.775,2.5,3,3,2.833333333,A,A,AA,A,C,YES,NO,NO
114,lucena,3,3,2.75,3,3,3,2.25,3,1.75,1.75,2.65,3,3,2.75,2.25,2,2.25,2,2.25,3,2,3,1.75,1.75,2.5,3,2.75,2.5,2.45,2.5,2,2,2.166666667,AA,A,AA,A,A,YES,NO,NO
115,lucban,2.75,2.25,2.5,3,3,2.75,2.25,3,2,1.5,2.5,3,3,2.25,2.5,2,2.25,1.75,1.5,3,1.75,2.5,2,1.5,2.5,2.25,2.75,2.5,2.225,3,2.25,1.75,2.333333333,AA,AA,AA,A,A,YES,NO,YES
116,tagkawayan,2.25,1.75,2,1.5,1.5,1.25,1.25,2.5,1.5,1.25,1.68,2.25,2,1.5,1.25,1,1.25,1.5,1,1.75,1.5,2,1.5,1.25,1.75,1.25,2,1.5,1.55,1.25,1,1.25,1.166666667,A,AA,A,AA,B,YES,NO,YES
117,sariaya,3,3,3,3,3,2.75,3,3,1.75,2.5,2.8,3,3,2.25,3,2.5,3,2.5,2.25,3,2.25,3,3,2.25,2.75,3,3,3,2.75,3,3,2.25,2.75,A,A,A,A,A,YES,NO,NO
118,tayabas,2,1.5,2.25,3,3,2,2.25,3,1.75,2,2.28,3,2.75,3,2.75,3,2.25,2.75,3,2.5,3,2.25,3,2.25,1.75,3,3,3,2.675,2.25,3,1.75,2.333333333,AA,AA,A,A,A,YES,NO,YES
119,lucena,2.25,2.25,2,1.75,1.75,1.75,2.5,3,1.75,2,2.1,2.75,2.5,3,3,3,2.25,3,2.5,3,3,2.25,3,2.25,1.5,2.25,3,2.75,2.55,2.25,3,2.25,2.5,A,A,AA,A,A,NO,NO,NO
120,pagbilao,2,2.5,2.25,3,2,3,2.25,3,1.75,2,2.38,3,2.75,2.25,2.75,3,2.25,2.75,3,2.5,3,2.25,3,2.25,1.75,3,3,3,2.675,2.25,3,1.75,2.333333333,AA,AA,A,AA,A,YES,NO,YES
121,gumaca,1.5,1.5,2,1.5,1.5,3,1.75,2.25,2.5,1.5,1.9,1.25,2.75,2.25,1.5,2,1.5,2.5,1.25,2.75,1.25,1.75,2,1.25,2,2.25,3,2.75,2.025,2,2.25,1,1.75,AA,AA,A,AA,B,YES,NO,YES
122,tiaong,2.5,2.25,3,3,3,2.75,2.75,3,2,1.75,2.6,3,2.75,3,2,2,2.75,2,2.5,3,3,3,3,2.5,3,2.75,2.75,3,2.85,2.25,3,2,2.416666667,A,A,A,A,A,NO,NO,NO
123,candelaria,3,3,3,3,3,3,2.5,3,2,2,2.75,3,2.75,3,3,2,3,2.25,2,3,2.5,3,3,2.75,3,3,3,3,2.825,3,2.75,2.25,2.666666667,A,A,AA,AA,B,YES,NO,NO
124,lucban,2,2.25,2.25,2.25,2.5,2,2.5,2.75,1.75,2,2.23,2.75,2.5,3,1.75,3,2.5,3,2,2.5,2.5,1.75,2.25,2,2,3,3,2.75,2.375,2.5,2.75,2.25,2.5,A,A,A,A,B,YES,NO,NO
125,candelaria,2.5,2.25,3,2,2.75,2.75,2,2.25,1.75,2,2.33,2.5,2.25,3,1.5,2,2,3,2.5,2.25,3,2,2.25,2,1.75,2.5,2.5,3,2.375,2,2.5,2,2.166666667,A,AA,A,A,B,NO,NO,NO
126,mauban,2.25,3,2.5,2.75,3,3,2.75,3,2,1.5,2.58,2.75,2.25,1.75,2.25,1.75,2.25,2,2,2.75,2.5,3,3,2.25,2.5,2.5,3,3,2.65,2.25,2.25,1.5,2,A,AA,A,A,A,YES,NO,NO
127,lucena,2.25,2.5,2,2,3,2,1.5,2.25,1.75,1.75,2.1,2.75,2,2,1.75,2.25,1.5,1.5,1.75,2,1.75,2.75,2.25,2.75,2,2,2.5,2,2.175,1.5,1.75,2,1.75,AA,A,A,AA,C,YES,NO,YES
128,agdangan,2.25,3,2.25,3,2.75,2.5,2.75,3,1.75,1.5,2.48,3,2.75,3,2.25,2.25,2.75,2.25,1.75,3,2.5,2.75,3,1.75,2.25,2.5,2.75,2.75,2.5,2.75,2.5,1.5,2.25,A,AA,AA,A,A,YES,NO,YES
129,lucban,1.25,2,1.5,1.5,2.5,2.5,1.75,2.5,1.5,1.25,1.83,3,2.5,1.25,1.75,2.25,2,1.75,1.25,1.75,1.25,1.75,1.25,1.5,1.5,2.25,2,2,1.65,2.25,1.25,1.25,1.583333333,AA,AA,A,AA,A,NO,NO,YES
130,sariaya,2,2.5,2.25,3,3,3,2.25,3,1.75,2,2.48,3,2.75,3,2.75,3,2.25,2.75,3,2.5,3,2.25,3,2.25,1.75,3,3,3,2.675,2.25,3,1.75,2.333333333,A,A,A,A,B,YES,NO,NO
131,tiaong,2.25,2,1.75,2,2.25,2.25,1.75,2.5,1.5,1.5,1.98,2.5,2.5,2.5,1.75,2.5,2.25,2.25,1.5,2.5,1.5,2,2.75,2.25,1.75,2.25,2.75,2.5,2.175,2.25,2,2,2.083333333,A,AA,A,A,A,NO,NO,YES
132,san narciso,2,2.5,3,3,2.5,2,2,3,1.5,2,2.35,3,2.75,2.25,2,2.25,1.75,1.75,2,2.75,2.5,3,1.75,2,2.5,2.5,2.75,2.5,2.425,1.75,2.25,2.25,2.083333333,A,A,A,A,A,YES,NO,NO
133,candelaria,2.25,2,2.25,2.5,3,2,2.5,3,2,2.5,2.4,2.75,2.75,2.25,2.25,2,3,2,2,2.75,2.25,3,2,2.25,2.5,3,3,2,2.475,2.5,2,1.75,2.083333333,A,A,AA,A,B,YES,NO,NO
134,lucena,2,2.25,2.25,1.75,2,2,1.5,2,2,2,1.98,2.25,1.75,2,2,2.25,2,2,1.5,2.25,2,2,2,2.25,2,2.5,3,2.25,2.175,2,1.25,1.5,1.583333333,A,AA,AA,A,A,YES,NO,YES
135,tiaong,1.75,1.75,2,1.75,2.25,2,1.75,2,1.75,1.5,1.85,2.75,2.25,2,1.5,2,2.25,1.75,1.75,2.75,2,2.75,2,2,2,2.25,2.75,2.25,2.25,1.5,1.75,1.5,1.583333333,A,AA,A,AA,A,YES,NO,YES
136,tayabas,3,3,3,3,3,3,3,3,2,2.5,2.85,3,3,3,3,2,3,2.25,2.25,3,2.75,3,3,3,3,2.75,3,3,2.875,3,3,1.75,2.583333333,A,A,A,A,B,YES,NO,NO
137,lucena,2.25,2,2.25,2.25,2.25,2.5,2,2.25,2.5,2.5,2.28,2.5,2.25,3,1.25,2.25,2.25,2.5,2,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.55,2.25,2.75,1.5,2.166666667,A,A,A,A,A,YES,NO,NO
138,pagbilao,2.5,2.25,2.25,3,2.5,2.25,1.25,2.75,2,1.75,2.25,2.75,2.5,1.5,1.75,2.25,2.25,2.75,2.25,2.5,2,2,2,2.25,1.5,2.25,3,2,2.175,2,1.75,2.25,2,A,AA,A,A,A,YES,NO,YES
139,luisiana,2,3,2.25,2.25,3,3,2,2.5,2.25,3,2.53,2.75,2.75,2,1.5,2.5,1.75,2,1.5,3,3,2.75,3,2.5,2.25,2.5,2.75,2.25,2.55,2,3,2.25,2.416666667,A,AA,A,A,A,YES,NO,YES
140,luisiana,3,3,3,3,3,3,3,3,2.25,2.5,2.88,2,2.25,3,3,2.25,3,2.5,3,3,3,3,3,2.25,2.75,3,3,3,2.9,3,3,2.5,2.833333333,A,A,AA,A,A,YES,NO,NO
141,sariaya,1.5,1.5,1.25,1.25,1.75,1.5,1.75,1.75,1.5,2,1.58,1.75,1.75,1.25,1.5,2,1.75,2.25,1.5,1.5,1.5,1.5,1.75,1.25,1.75,2.25,2.25,2,1.725,1.5,1,1.5,1.333333333,AA,AA,AA,AA,A,YES,YES,YES
142,candelaria,1.5,1.5,2,1.5,1.5,1.25,1.75,2.25,2.5,1.5,1.73,1.25,1.75,2.25,1.5,2,1.5,2.5,1.25,1.75,1.25,1.75,2,1.25,2,2.25,2,1.75,1.725,2,2.25,1,1.75,AA,AA,AA,AA,B,YES,YES,YES
143,candelaria,3,3,3,3,3,3,2,2.5,2,1.75,2.63,3,3,3,3,2,3,2.25,3,3,3,3,3,2.25,2.75,3,3,2.75,2.875,3,3,2.25,2.75,AA,A,A,A,A,YES,NO,NO
144,gumaca,1.5,1.75,1.75,1.75,2,2,1.75,2.25,1.5,1.5,1.78,2.5,2.25,1.75,1.75,2,2.5,1.75,1.25,2,2,2.5,1.25,1.5,2,2.5,2.75,2,1.975,1.75,1.25,1.5,1.5,AA,AA,A,A,A,YES,NO,YES
145,atimonan,2.25,3,3,2.75,3,2.75,2.75,3,2.25,2,2.68,3,3,3,3,2,3,2.75,3,3,3,3,2.75,2.25,3,2.75,3,3,2.875,2.75,3,3,2.916666667,AA,A,A,A,B,YES,NO,NO
146,cavinti,3,3,3,3,3,3,3,3,2,2.5,2.85,3,3,3,3,2,3,2.25,2.25,3,2.75,3,3,3,3,2.75,3,3,2.875,3,3,1.75,2.583333333,A,A,A,A,A,YES,NO,NO
147,sariaya,1.5,1.75,1.5,2.25,1.5,1.5,1.5,1.75,1.25,1.25,1.58,1.75,1.75,1.25,1.75,1.75,1.5,1.5,1.25,1.75,1.75,1.75,1.75,1.25,1.5,2,2.25,1.5,1.675,1.5,2.25,1.75,1.833333333,AA,AA,AA,A,B,YES,YES,YES
148,sampaloc,3,3,3,3,3,3,2.5,3,2.25,1.75,2.75,3,1.75,3,3,1.75,2.75,2,2.25,3,2.75,3,3,2.25,2.5,3,3,2.5,2.725,3,3,2,2.666666667,AA,A,A,A,A,NO,NO,NO
149,pangil,1.75,2.25,2,2.5,2.25,2,2.75,3,1.5,1.5,2.15,2.25,2.5,2.25,2,1.75,2.75,1.75,1.75,2.5,2,2.5,1.5,1.5,2.25,2.5,3,2.75,2.225,3,2.25,1.5,2.25,A,AA,A,A,A,YES,NO,YES
150,tiaong,1.75,2.25,3,3,3,3,2.25,2.25,2,1.75,2.43,3,3,2.5,2.25,2.25,2.75,2.25,2,2.5,2,2.75,2.25,1.75,2.5,2,3,2.5,2.325,2.75,2,2,2.25,A,AA,A,AA,A,YES,NO,YES
151,majayjay,3,3,3,3,3,2.5,3,2.25,1.75,1.75,2.63,3,3,2.25,3,3,3,3,3,3,3,3,1.25,2.5,3,3,3,3,2.775,3,3,2.25,2.75,A,A,A,A,A,YES,NO,NO
152,lucena,2.75,3,2.5,2.75,3,3,3,3,2.25,2.5,2.78,3,3,3,3,3,3,3,3,3,3,3,3,2.25,2.75,3,3,2.75,2.875,3,3,2.75,2.916666667,A,A,A,AA,B,YES,NO,NO
153,lucena,2.5,3,3,3,3,2.5,2.75,3,2.75,2.5,2.8,3,3,3,3,2,2.75,1.75,2.5,3,2.5,3,3,2.25,2.25,2.75,2,3,2.625,3,3,2.75,2.916666667,AA,A,A,A,B,YES,NO,NO
154,cavinti,1.75,2.25,2.25,2,2.5,2.25,2.25,2,1.5,2,2.08,2.5,2.5,2.75,1.75,2.75,2.75,2.5,1.75,2.5,2.75,2.25,2.25,1.75,1.5,3,2.25,2.5,2.25,2.5,2.25,1.75,2.166666667,A,AA,A,A,B,YES,NO,YES
155,pagbilao,3,3,3,3,3,3,3,3,2.25,2.5,2.88,2,2.25,3,3,2.25,3,2.5,3,3,3,3,3,2.25,2.75,3,3,3,2.9,3,3,2.5,2.833333333,A,A,A,A,A,YES,NO,NO
156,lumban,3,3,3,3,3,3,3,3,2.25,2.5,2.88,3,3,3,3,3,2.75,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2.25,2.75,A,A,A,A,A,YES,NO,NO
157,lucban,3,2.5,2.75,2.5,3,3,1.75,1.75,2.5,2.5,2.53,3,3,3,2.5,2.25,3,2,2.5,3,3,3,3,2,2.5,3,3,2.5,2.75,2.25,3,3,2.75,A,A,AA,A,B,YES,NO,NO
158,lucban,2.25,3,3,3,3,3,3,3,2.5,1.75,2.75,3,2.75,3,2.75,2.5,3,2,3,3,2.75,3,3,2,3,2.5,3,3,2.825,3,2.25,2.25,2.5,A,A,AA,A,B,YES,NO,NO
159,gumaca,1.25,2,1.5,1.5,2.5,2.5,1.75,2.5,1.5,1.25,1.83,3,2.5,1.25,1.75,2.25,2,1.75,1.25,1.75,1.25,1.75,1.25,1.5,1.5,2.25,2,2,1.65,2.25,1.25,1.25,1.583333333,A,AA,A,A,A,NO,NO,YES
160,candelaria,2.25,2.5,3,3,3,3,2.75,3,2,2.25,2.68,3,3,2.5,3,2.25,3,2.5,3,3,3,3,3,2.25,2.25,2,3,3,2.75,2.75,3,3,2.916666667,A,A,A,A,B,YES,NO,NO
161,general nakar,2.25,3,3,3,3,3,2.75,3,2,2,2.7,3,2.5,2.5,2.25,2.5,2.5,2,2,2.5,2.75,3,2.75,2.25,2.5,2.75,3,3,2.65,2.5,2,2,2.166666667,A,AA,A,A,B,NO,NO,YES
162,pagsanjan,1.75,2,2,1.75,2,1.75,1.25,2,1.5,1.5,1.75,3,2.5,2.25,1,2.5,1.5,2.25,1.5,2,1.75,1.75,2,1.75,1.5,2.25,2.5,2,1.9,1.75,1.5,1.75,1.666666667,A,AA,A,A,C,YES,NO,YES
163,lucban,2.25,3,2.25,3,3,3,2.5,3,2,2.25,2.63,3,2.5,2.25,2.5,3,3,3,3,3,3,3,1.5,2.25,3,3,3,3,2.775,2.5,3,3,2.833333333,AA,AA,A,AA,B,YES,NO,NO
164,lucban,3,3,3,3,3,3,3,2.75,2,1.75,2.75,3,3,2,2,2.5,2.5,2.5,2.25,3,2.5,2,2.5,2.25,2.25,3,3,2.75,2.55,3,3,3,3,AA,A,A,A,B,YES,NO,NO
165,lucban,3,3,3,2.5,3,2.25,2,3,2.25,2.25,2.63,3,3,2.5,2.75,3,3,3,3,3,3,3,3,2.5,2.5,3,3,3,2.9,3,3,2.5,2.833333333,A,AA,A,A,A,NO,NO,NO
166,lucban,2.75,2.5,2.25,2.25,2.25,2,2.5,3,2.25,1.5,2.33,2.5,2.25,3,3,3,2.25,2.5,3,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.65,2.25,2.75,1.5,2.166666667,A,A,A,A,A,NO,NO,NO
167,lucena,2,2,2.75,2.25,2.5,2,1.5,3,2,1.25,2.13,3,2.5,2.25,2,2,2.25,1.5,1.5,2.25,1.75,2.5,2,1.5,2,1.75,3,2.25,2.05,2.25,2,1.5,1.916666667,A,AA,A,AA,C,YES,NO,YES
168,mauban,3,3,3,3,3,2.5,3,3,2.5,2.25,2.83,3,3,3,3,2.5,3,2.5,2.75,3,3,3,3,2.75,3,2.75,3,3,2.925,2.5,2.75,2.25,2.5,AA,A,AA,A,A,YES,NO,NO
169,atimonan,3,3,3,3,3,2.25,3,3,2,1.5,2.68,3,3,3,3,2.5,2.75,2.25,2.5,3,3,3,1.75,1.75,2.75,2.5,3,3,2.625,3,3,2.25,2.75,A,A,A,AA,A,YES,NO,NO
170,lucban,1.75,1.75,2,1.5,1.5,1.25,1.25,2.5,1.5,1.25,1.63,2.25,2,1.5,1.25,1,1.25,1.5,1,1.75,1.5,2,1.5,1.25,1.75,1.25,2,1.5,1.55,1.25,1,1.25,1.166666667,A,AA,AA,AA,B,NO,NO,YES
171,sta. cruz,2.5,3,3,3,3,2.75,2.75,3,2.75,2.5,2.83,3,3,3,3,3,3,2.5,3,3,3,3,3,2.75,3,3,3,3,2.975,3,3,2.5,2.833333333,A,A,A,A,A,NO,NO,NO
172,luisiana,3,3,3,3,3,3,3,3,2,2,2.8,3,3,3,3,2,3,2.25,2.5,3,3,3,2.25,2,3,2.75,2.75,2.25,2.65,3,3,2.5,2.833333333,A,A,A,A,C,YES,NO,NO
173,lucena,2.25,2.75,3,3,3,3,3,3,2.25,3,2.83,3,3,3,2.5,2.25,3,2.25,2.5,3,3,3,3,2.25,3,3,3,2.75,2.85,3,3,2,2.666666667,A,A,A,A,B,NO,NO,NO
174,lucban,2.25,3,3,2.75,3,3,2.25,3,3,1.75,2.7,3,3,2.75,2.75,2.25,2.5,2.25,2.25,3,2.25,3,2.5,2.5,2.5,3,3,3,2.7,2.25,2.25,2.25,2.25,A,AA,A,BA,A,NO,NO,NO
175,lucena,1.5,1.75,2.25,2,1.75,1.75,1.25,2.75,1.5,1.25,1.78,3,2.5,2.25,1.5,1.75,2.25,2,1.25,2.5,1.5,1.75,1.75,1.75,2,2.75,2.75,2.5,2.05,2,1.5,1.5,1.666666667,AA,AA,AA,AA,A,YES,NO,YES
176,sta. cruz,2,2.5,2.25,3,3,3,2.25,3,1.75,2,2.48,3,2.75,3,2.75,3,2.25,2.75,3,2.5,3,2.25,3,2.25,1.75,3,3,3,2.675,2.25,3,1.75,2.333333333,A,AA,A,A,A,YES,NO,YES
177,infanta,1.5,1.5,2,1.5,1.5,3,1.75,2.25,2.5,1.5,1.9,1.25,2.75,2.25,1.5,2,1.5,2.5,1.25,2.75,1.25,1.75,2,1.25,2,2.25,3,2.75,2.025,2,2.25,1,1.75,A,AA,A,A,A,YES,NO,YES
178,lucena,2.5,3,3,3,3,2.75,2.75,3,2.75,3,2.88,3,3,3,3,3,3,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.833333333,A,A,AA,A,A,YES,NO,NO
179,liliw,1.25,2,1.5,1.5,2.5,2.5,1.75,2.5,1.5,1.25,1.83,3,2.5,1.25,1.75,2.25,2,1.75,1.25,1.75,1.25,1.75,1.25,1.5,1.5,2.25,2,2,1.65,2.25,1.25,1.25,1.583333333,AA,AA,AA,AA,C,YES,NO,YES
180,lucban,2.75,2.75,2.5,2.25,3,3,3,2,2.75,2.25,2.63,3,3,3,2.25,2,3,1.75,2.25,3,3,3,3,2.25,2.75,2.5,3,2.25,2.7,2.75,2.5,2.75,2.666666667,A,A,AA,A,A,NO,NO,NO
181,lucban,2.25,2.25,2,2.5,2.5,2.75,1.75,2,1.5,1.5,2.1,2.75,2.75,1.5,3,2.75,3,2.75,2,2.75,2.5,2.25,3,2.75,2,3,3,2.75,2.6,2.5,2.5,1.75,2.25,A,AA,A,A,A,YES,NO,YES
182,lucban,3,3,3,3,3,2.25,3,3,2,2.25,2.75,3,3,3,3,2.5,2.75,2.25,2.5,3,3,3,1.75,1.75,2.75,2.5,3,3,2.625,3,3,2.25,2.75,AA,A,AA,A,B,NO,NO,NO
183,atimonan,3,3,3,3,3,2.75,3,3,2,1.5,2.73,2.75,3,3,3,2.5,3,2.25,2.5,3,2.75,3,3,2.5,2.75,3,3,3,2.85,3,3,1.75,2.583333333,A,A,A,A,A,NO,NO,NO
184,lucban,3,3,3,3,3,3,2.5,3,1.75,1.75,2.7,3,3,2.75,3,2.25,3,2.25,2,3,3,3,2,1.75,2.75,2.75,3,3,2.625,3,2.25,2,2.416666667,A,AA,A,A,C,NO,NO,NO
185,lucban,2.25,2.5,1.75,2.25,2.25,2.5,2,2.25,2.75,1.5,2.2,2.5,2.25,3,1.25,2.25,2.25,2.5,2,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.55,2.25,2.75,1.5,2.166666667,A,A,A,A,A,NO,NO,NO
186,lucban,2.5,3,3,3,3,2.75,2.75,3,2.75,2.5,2.83,3,3,3,3,3,3,2.5,3,3,3,3,3,2.75,3,3,3,3,2.975,3,3,2.5,2.833333333,A,AA,A,A,A,NO,NO,NO
187,tayabas,3,3,2.75,2.25,3,3,2.75,2.75,2.25,2.5,2.73,3,3,2,3,3,3,3,3,3,3,3,3,2.75,2.25,3,3,3,2.9,2.75,3,2.5,2.75,A,A,A,A,A,YES,NO,NO
188,tayabas,3,3,2.5,2.25,2.5,3,3,2.25,2,2.25,2.58,3,2.5,3,2.75,3,3,3,3,3,3,2.75,3,2.25,2,3,3,3,2.8,3,3,2.25,2.75,A,AA,A,A,B,YES,NO,NO
189,sariaya,3,3,3,3,3,2,3,3,1.75,1.75,2.65,3,3,3,3,3,2.5,3,2.75,3,3,3,3,2.5,3,3,3,3,2.925,3,3,2.75,2.916666667,A,A,AA,A,A,YES,NO,NO
190,infanta,2.5,2.25,2.5,3,3,2.75,2.25,3,2,1.5,2.48,3,3,2.25,2.5,2,2.25,1.75,1.5,3,1.75,2.5,2,1.5,2.5,2.25,2.75,2.5,2.225,3,2.25,1.75,2.333333333,A,AA,A,AA,A,YES,NO,YES
191,tayabas,3,2.25,2.25,3,2.75,3,2.5,2.5,2,1.75,2.5,2.75,2.75,2,3,3,3,3,2.5,3,3,2.5,2.5,2.25,2.25,3,3,3,2.7,3,3,2,2.666666667,A,AA,A,AA,B,YES,NO,YES
192,marinduque,2.5,2.75,3,2.75,3,2.75,2.75,3,2.25,2,2.68,3,3,3,3,2,3,2.75,3,3,3,3,2.75,2.25,3,2.75,3,3,2.875,2.75,3,3,2.916666667,A,A,A,A,A,YES,NO,NO
193,mulanay,2.75,2,2.5,2.5,2.75,3,2.25,3,2,1.75,2.45,2.75,2.75,3,2.25,3,2.5,2.75,3,3,2.75,2.25,3,2.75,2.5,3,3,3,2.825,3,3,2.25,2.75,A,AA,A,A,A,YES,NO,YES
194,tayabas,3,2.25,2.25,2.25,3,2,2.5,2.75,1.75,2,2.38,2.75,2.5,3,1.75,3,3,3,2,2.5,2.5,1.75,2.25,2,2,3,3,2.75,2.375,2.5,2.75,2.25,2.5,A,A,A,A,A,YES,NO,NO
195,atimonan,2.25,3,3,2.75,3,2.75,2.75,3,2.25,2,2.68,3,3,3,3,2,3,2.75,3,3,3,3,2.75,2.25,3,2.75,3,3,2.875,2.75,3,3,2.916666667,A,A,A,A,A,YES,NO,NO
196,guinayangan,2.5,2.25,2.5,2,3,1.25,2,2.75,1.75,1.75,2.18,2.75,2.5,2.25,1.75,2,2,1.75,1.75,2,2.25,2.5,2.25,2.25,2.5,2.25,2.25,2,2.2,1.75,1.25,1.75,1.583333333,A,A,A,A,B,YES,NO,YES
197,san antonio,2.5,2.25,2.25,2.25,2.75,2.25,2.25,3,1.75,1.5,2.28,2.75,2.75,2.25,2,2,2,2,1.75,2,1.75,2.25,1.5,1.75,2,2.5,2.5,2.25,2.025,2.25,1.5,1.75,1.833333333,A,A,A,A,A,NO,NO,NO
198,lucena,2.25,3,3,3,3,3,2.75,3,2,2,2.7,3,2.5,2.5,2.25,2.5,2.5,2,2,2.5,2.75,3,2.75,2.25,2.5,2.75,3,3,2.65,2.5,2,2,2.166666667,A,AA,A,A,A,YES,NO,YES
199,sariaya,2,2.25,2.25,1.75,2,2,1.5,2,2,2,1.98,2.25,1.75,2,2,2.25,2,2,1.5,2.25,2,2,2,2.25,2,2.5,3,2.25,2.175,2,1.25,1.5,1.583333333,AA,A,AA,AA,B,YES,NO,YES
200,candelaria,2.5,2.75,2.5,2.25,3,3,3,2,2.75,2.5,2.63,3,3,3,2.25,2,3,1.75,2.25,3,3,3,3,2.25,2.75,2.5,3,2.25,2.7,2.75,2.5,2.75,2.666666667,A,A,AA,A,A,YES,NO,NO
201,guinayangan,3,3,3,3,3,2.75,3,3,1.75,1.75,2.73,3,3,2.25,3,2.5,3,2.5,2.25,3,2.25,3,3,2.25,2.75,3,3,3,2.75,3,3,2.25,2.75,A,A,A,A,B,YES,NO,NO
